,is_good_result,title_length,is_published_in_week_end,days_since_publish_date,has_special_characters_in_title,probably_sex_words_in_title,title_longest_word_length,title_number_words,category_id,likes,dislikes,comment_count,comments_disabled,ratings_disabled,channel_3_standard_deviations,channel_3_mean,channel_3_entropy,channel_2_standard_deviations,channel_2_mean,channel_2_entropy,channel_1_standard_deviations,channel_1_mean,channel_1_entropy,total_standard_deviation,total_mean,total_entropy,video_error_or_removed
7126,ViewsResult.MEDIUM,39,False,745,False,False,10,5,10.0,254209.0,4575.0,14103.0,False,False,0.0,0.0,4.445840756895461,0.0,0.0,6.9798290331581345,0.0,0.0,3.8981735144117247,67.85638301600734,60.15351851851853,5.567695964447098,False
7127,ViewsResult.MEDIUM,34,False,745,False,False,12,5,22.0,11662.0,1303.0,1824.0,False,False,0.5252571386743783,0.17222222222222222,5.942709638255518,0.8193220247539509,0.33055555555555555,7.625684080648573,1.2798262565339018,0.6694444444444444,6.158667683632301,96.80030519725949,109.90037037037035,6.8726997633113465,False
7128,ViewsResult.POOR,30,False,745,False,False,8,6,24.0,27402.0,677.0,1328.0,False,False,1.7414672932137811,1.3916666666666666,5.91683951159392,2.1628010387766445,1.575,7.615640963842938,2.9998958315248214,1.9416666666666669,6.745359830918652,78.09515688971777,71.64333333333333,6.921836413681121,False
7129,ViewsResult.MEDIUM,38,False,746,False,False,7,7,24.0,50083.0,1466.0,3754.0,False,False,0.0,0.0,4.26863784706021,0.0,0.0,7.629711456889128,0.0,0.0,4.013654489410967,62.1475769334381,47.62586419753087,5.669152557996483,False
7130,ViewsResult.MEDIUM,60,False,746,True,False,11,9,26.0,100751.0,3066.0,6935.0,False,False,1.5237598681558946,1.5194444444444444,5.934183957660191,2.0179671350209576,1.6055555555555556,7.870669940513749,2.9202147730924954,2.2888888888888888,6.830711114234522,86.88823109193376,108.3541049382716,7.181853164977665,False
7131,ViewsResult.MEDIUM,47,False,746,False,False,10,9,24.0,20900.0,639.0,1188.0,False,False,1.6806818134390258,1.0555555555555556,5.151651753993567,1.3672734651104226,0.9972222222222222,6.6345121695325435,1.456774298930583,0.8944444444444445,5.52661132976959,48.27300077067449,33.744043209876544,5.984280804197142,False
7132,ViewsResult.MEDIUM,46,False,746,False,False,12,7,23.0,42582.0,1221.0,1477.0,False,False,0.2939198681424733,0.05,5.244120992251472,0.5369021222614871,0.19166666666666668,7.270563969467164,0.5451738311518992,0.19722222222222224,5.429680709526829,63.28797377832306,47.941481481481475,6.204230413298456,False
7133,ViewsResult.GOOD,58,False,747,False,False,8,10,10.0,7871.0,678.0,340.0,False,False,0.0,0.0,0.8360221448310939,0.0,0.0,3.1577269330999496,0.0,0.0,-0.0,25.860785190922087,5.760648148148147,1.5368594269155824,False
7134,ViewsResult.POOR,44,False,748,False,False,8,6,20.0,13379.0,1668.0,3718.0,False,False,0.0,0.0,3.700786588859789,0.0,0.0,6.016945737207457,0.0,0.0,1.4833522872708722,113.49809318978028,160.2516666666667,4.195366835127256,False
7135,ViewsResult.GOOD,52,True,750,False,False,13,10,26.0,54043.0,9473.0,5648.0,False,False,0.9814600801300524,0.6916666666666667,6.285354229623136,1.295719448371787,0.9,7.728805955120639,1.5500672028442295,1.0083333333333333,6.633153461157951,85.20153938790061,115.31086419753086,7.111072517698504,False
7136,ViewsResult.MEDIUM,22,True,751,False,False,6,5,24.0,352409.0,6186.0,30199.0,False,False,0.0,0.0,5.631454466676117,0.0,0.0,7.4627763167032946,0.0,0.0,4.144189151032128,80.83345818543287,86.99913580246914,6.256320231412443,False
7137,ViewsResult.MEDIUM,31,True,750,False,False,6,7,24.0,10394.0,526.0,1238.0,False,False,1.5500871142385502,1.2472222222222222,6.12245645883528,1.9350547094061867,1.5027777777777778,7.657107994395357,2.5758613565941517,1.8222222222222224,6.950050330067644,87.58290003455956,104.2374074074074,7.130060982530947,False
7138,ViewsResult.MEDIUM,42,False,752,False,False,8,7,10.0,10404.0,340.0,375.0,False,False,0.0,0.0,3.4244717388647934,0.0,0.0,5.469315982554335,0.0,0.0,3.344816801893463,45.427935807988135,24.413611111111113,4.320920798228326,False
7139,ViewsResult.MEDIUM,37,False,752,False,False,9,7,10.0,7151.0,253.0,304.0,False,False,0.3731332135601553,0.12777777777777774,4.269986946378952,0.4104724769347972,0.16111111111111112,5.485869880828012,0.4172126053041679,0.16944444444444445,4.073883558331239,58.006428561275406,36.56929012345679,4.6764126670013395,False
7140,ViewsResult.MEDIUM,53,False,753,False,False,7,11,10.0,41564.0,682.0,1996.0,False,False,0.0,0.0,5.96706425240145,0.0,0.0,7.788624372551383,0.0,0.0,5.500328430964949,87.99372203550193,101.08092592592592,6.7502140194018825,False
